ID,Book,PDF page,Printed page,Section,Content,Type,Classification,Severity,Frequency,Friction,Priority,Current App Path,Searchable? / tested query,Context-linked?,Table view?,Problem,Recommended minimal fix,Need ID,Solution categories,Workflows
core-tests,MÖRK BORG Bare Bones,28,28,Tests: d20 + ability versus DR; creatures unmodified,Tests: d20 + ability versus DR; creatures unmodified,Rule,RESOLVED,—,5,1,5,Reference Desk > rule:core.tests,yes: tests,no,n/a,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-tests,,Character
core-full-tests,MÖRK BORG Full Edition (Second Printing),30,26,Tests: d20 + ability versus DR; creatures unmodified,Tests: d20 + ability versus DR; creatures unmodified,Rule,RESOLVED,—,5,1,5,Reference Desk > rule:core.tests,yes: tests,no,n/a,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-tests,,Character
core-difficulty-scale,MÖRK BORG Bare Bones,28,28,Difficulty scale DR6/8/10/12/14/16/18,Difficulty scale DR6/8/10/12/14/16/18,Rule,PARTIAL,P2,4,3,12,Reference Desk > rule:core.tests,indirect: Difficulty scale DR6/8/10/12/14/16/18,no,n/a,The quick rule gives only normal DR12; the source difficulty ladder is not displayed.,Add the seven-row source DR ladder behind the Tests rule.,core-difficulty-scale,QUICK_RULE,Character
core-full-difficulty-scale,MÖRK BORG Full Edition (Second Printing),30,26,Difficulty scale DR6/8/10/12/14/16/18,Difficulty scale DR6/8/10/12/14/16/18,Rule,PARTIAL,P2,4,3,12,Reference Desk > rule:core.tests,indirect: Difficulty scale DR6/8/10/12/14/16/18,no,n/a,The quick rule gives only normal DR12; the source difficulty ladder is not displayed.,Add the seven-row source DR ladder behind the Tests rule.,core-difficulty-scale,QUICK_RULE,Character
core-ability-creation,MÖRK BORG Bare Bones,27,27,Ability conversion and classless two 4d6-drop-lowest options,Ability conversion and classless two 4d6-drop-lowest options,Rule,PARTIAL,P2,2,3,6,Campaign > Characters > New / generated ability SOURCE,indirect: Ability conversion and classless two 4d6-drop-lowest options,no,n/a,Base 3d6 conversion is implemented; classless optional 4d6-drop-lowest on two chosen abilities is absent from characterFieldRoll and creation controls. No static conversion lookup in Reference Desk.,Expose conversion and optional creation rule; do not silently select the two abilities.,core-ability-creation,QUICK_RULE; CLASS_REFERENCE,Character
core-full-ability-creation,MÖRK BORG Full Edition (Second Printing),30,26,Ability conversion and classless two 4d6-drop-lowest options,Ability conversion and classless two 4d6-drop-lowest options,Rule,PARTIAL,P2,2,3,6,Campaign > Characters > New / generated ability SOURCE,indirect: Ability conversion and classless two 4d6-drop-lowest options,no,n/a,Base 3d6 conversion is implemented; classless optional 4d6-drop-lowest on two chosen abilities is absent from characterFieldRoll and creation controls. No static conversion lookup in Reference Desk.,Expose conversion and optional creation rule; do not silently select the two abilities.,core-ability-creation,QUICK_RULE; CLASS_REFERENCE,Character
core-carrying,MÖRK BORG Bare Bones,28,28,Carrying capacity and encumbrance,Carrying capacity and encumbrance,Rule,RESOLVED,—,4,1,4,Reference Desk > rule:core.carrying,yes: carrying,no,n/a,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-carrying,,Character
core-full-carrying,MÖRK BORG Full Edition (Second Printing),31,27,Carrying capacity and encumbrance,Carrying capacity and encumbrance,Rule,RESOLVED,—,4,1,4,Reference Desk > rule:core.carrying,yes: carrying,no,n/a,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-carrying,,Character
core-initiative,MÖRK BORG Bare Bones,30,30,Group and individual initiative,Group and individual initiative,Rule,RESOLVED,—,5,1,5,Reference Desk > oracle:core.initiative / rule:core.violence,yes: Group and individual initiative,no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-initiative,,Character
core-full-initiative,MÖRK BORG Full Edition (Second Printing),33,29,Group and individual initiative,Group and individual initiative,Rule,RESOLVED,—,5,1,5,Reference Desk > oracle:core.initiative / rule:core.violence,yes: Group and individual initiative,no,yes,Reviewed the source text and available mechanical output; usable via the cited route.,None.,core-initiative,,Character
