tableId,bookId,title,pdfPage,printedPage,dice,entryCount,referenceId,canonicalIds,aliasToGroupedReference,referenceAvailable,roll,reroll,rollScope,view,sourceDisclosure,manualReadingChoice,selectRowToResult,manualDieInput,tableTitleSearchRank,tableTitleSearchTop,tableViewCopies,sourceStatus,nonRollableReason,hiddenPlayableRowCount,hiddenPlayableKeys,selectorOmissionCount,selectorKeys,inlineFollowupRows,topLevelDescriptionNotInsideTable,relatedNeedIds,assessment
core.names,core,Names,2,2,d6 × d8,48,oracle:core.names,"[""core.names""]",False,True,True,True,single table,True,True,True,False,False,1,oracle:core.names,1,VERIFIED,,0,[],0,[],0,False,"[""core-names""]",Entry fragments are readable. Any metadata listed as a candidate is not automatically a missing rule; source completeness remains in the linked book audit.
core.titleA,core,What Is It Called? — First Column,71,71,d12,12,oracle:core.titleA,"[""core.titleA""]",False,True,True,True,single table,True,True,True,False,False,1,oracle:core.titleA,1,VERIFIED,,0,[],0,[],0,False,"[""core-dungeon-name""]",Entry fragments are readable. Any metadata listed as a candidate is not automatically a missing rule; source completeness remains in the linked book audit.
core.titleB,core,What Is It Called? — Second Column,71,71,d12,12,oracle:core.titleB,"[""core.titleB""]",False,True,True,True,single table,True,True,True,False,False,1,oracle:core.titleB,1,VERIFIED,,0,[],0,[],0,False,[],Entry fragments are readable. Any metadata listed as a candidate is not automatically a missing rule; source completeness remains in the linked book audit.
core.status,core,Status,71,71,d6,2,oracle:core.status,"[""core.status""]",False,True,True,True,single table,True,True,True,False,False,1,oracle:core.status,1,VERIFIED,,0,[],0,[],1,False,"[""core-dungeon-status""]",Entry fragments are readable. Any metadata listed as a candidate is not automatically a missing rule; source completeness remains in the linked book audit.
core.danger,core,Imminent Danger,72,72,d10,10,oracle:core.danger,"[""core.danger""]",False,True,True,True,single table,True,True,True,False,False,1,oracle:core.danger,1,VERIFIED,,0,[],0,[],1,False,"[""core-dungeon-danger""]",Entry fragments are readable. Any metadata listed as a candidate is not automatically a missing rule; source completeness remains in the linked book audit.
core.inhabitants,core,Who or What Dwells Here Now?,72,72,d12,12,oracle:core.inhabitants,"[""core.inhabitants""]",False,True,True,True,single table,True,True,True,False,False,1,oracle:core.inhabitants,1,VERIFIED,,0,[],0,[],0,False,"[""core-dungeon-inhabitants""]",Entry fragments are readable. Any metadata listed as a candidate is not automatically a missing rule; source completeness remains in the linked book audit.
core.feature,core,Distinctive Feature,73,73,d12,12,oracle:core.feature,"[""core.feature""]",False,True,True,True,single table,True,True,True,False,False,1,oracle:core.feature,1,VERIFIED,,0,[],0,[],0,False,"[""core-dungeon-feature""]",Entry fragments are readable. Any metadata listed as a candidate is not automatically a missing rule; source completeness remains in the linked book audit.
core.rooms,core,Sample Rooms,"[73, 74]",73–74,d4 × d6,24,oracle:core.rooms,"[""core.rooms""]",False,True,True,True,single table,True,True,True,False,False,1,oracle:core.rooms,1,VERIFIED,,0,[],0,[],3,False,"[""core-sample-rooms""]",Entry fragments are readable. Any metadata listed as a candidate is not automatically a missing rule; source completeness remains in the linked book audit.
core.traits,core,Terrible Traits,38,38,d20,20,oracle:core.traits,"[""core.traits""]",False,True,True,True,single table,True,True,True,False,False,1,oracle:core.traits,1,VERIFIED,,0,[],0,[],0,False,"[""core-traits""]",Entry fragments are readable. Any metadata listed as a candidate is not automatically a missing rule; source completeness remains in the linked book audit.
core.bodies,core,Broken Bodies,39,39,d20,20,oracle:core.bodies,"[""core.bodies""]",False,True,True,True,single table,True,True,True,False,False,1,oracle:core.bodies,1,VERIFIED,,0,[],0,[],0,False,"[""core-bodies""]",Entry fragments are readable. Any metadata listed as a candidate is not automatically a missing rule; source completeness remains in the linked book audit.
